sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10
,108.0,38.0,142.0,,191.0,169.0,-443.0,,
,181.0,-48.0,252.0,,178.0,246.0,-317.0,,
,-2.0,18.0,10.0,,-162.0,255.0,-168.0,,
,-147.0,8.0,-79.0,,-380.0,218.0,594.0,,
,-284.0,6.0,107.0,,-326.0,104.0,1504.0,,
,-350.0,45.0,100.0,,-56.0,95.0,1954.0,,
,-187.0,7.0,169.0,,103.0,155.0,1977.0,,
,-1.0,76.0,3.0,,98.0,144.0,779.0,,
,226.0,28.0,-311.0,,125.0,194.0,-197.0,,
,545.0,75.0,-488.0,,49.0,247.0,-805.0,,
,537.0,73.0,-513.0,,204.0,219.0,-864.0,,
,354.0,65.0,-357.0,,430.0,158.0,-365.0,,
,192.0,108.0,-240.0,,321.0,93.0,-214.0,,
,26.0,79.0,-44.0,,79.0,38.0,-123.0,,
,-17.0,125.0,79.0,,-21.0,-5.0,-737.0,,
,69.0,116.0,-9.0,,93.0,70.0,-1201.0,,
,217.0,145.0,13.0,,307.0,215.0,-1542.0,,
,486.0,161.0,-29.0,,400.0,263.0,-1759.0,,
,395.0,162.0,-254.0,,256.0,238.0,-1313.0,,
,-138.0,165.0,-175.0,,143.0,193.0,-1212.0,,
,-257.0,174.0,20.0,,264.0,189.0,-814.0,,
,-88.0,186.0,234.0,,386.0,254.0,-415.0,,
,-69.0,167.0,343.0,,411.0,311.0,7.0,,
,-294.0,186.0,214.0,,387.0,269.0,776.0,,
,-318.0,165.0,128.0,,318.0,186.0,1886.0,,
,-223.0,196.0,-139.0,,296.0,171.0,3105.0,,
,-363.0,211.0,-323.0,,220.0,216.0,2924.0,,
,-199.0,217.0,-311.0,,73.0,263.0,2219.0,,
,-48.0,229.0,-84.0,,56.0,236.0,1243.0,,
,-57.0,226.0,138.0,,10.0,194.0,155.0,,
,47.0,239.0,155.0,,150.0,196.0,-548.0,,
,224.0,236.0,163.0,,420.0,165.0,-1101.0,,
,446.0,265.0,35.0,,283.0,104.0,-920.0,,
,507.0,223.0,124.0,,223.0,51.0,-955.0,,
,653.0,236.0,226.0,,354.0,88.0,-1042.0,,
,602.0,204.0,147.0,,505.0,183.0,-1415.0,,
,67.0,175.0,107.0,,621.0,215.0,-1803.0,,
,-125.0,211.0,94.0,,363.0,208.0,-1123.0,,
,-74.0,142.0,100.0,,45.0,174.0,-744.0,,
,-220.0,176.0,209.0,,-47.0,187.0,-461.0,,
,-334.0,163.0,249.0,,237.0,194.0,-29.0,,
,-317.0,154.0,2.0,,540.0,146.0,740.0,,
,-51.0,167.0,-46.0,,283.0,203.0,1576.0,,
,160.0,133.0,113.0,,29.0,281.0,1973.0,,
,138.0,171.0,245.0,,61.0,311.0,2326.0,,
,-38.0,148.0,402.0,,217.0,296.0,2008.0,,
,-179.0,171.0,225.0,,484.0,230.0,1688.0,,
,-6.0,173.0,-84.0,,489.0,206.0,1031.0,,
,-56.0,193.0,24.0,,239.0,218.0,338.0,,
,-200.0,219.0,200.0,,102.0,306.0,188.0,,
,-36.0,199.0,304.0,,190.0,379.0,-339.0,,
,162.0,240.0,390.0,,374.0,347.0,-946.0,,
,176.0,232.0,558.0,,302.0,286.0,-1967.0,,
,27.0,293.0,642.0,,146.0,227.0,-2370.0,,
,248.0,299.0,309.0,,223.0,215.0,-2675.0,,
,480.0,291.0,172.0,,420.0,194.0,-3294.0,,
,475.0,321.0,32.0,,609.0,152.0,-2858.0,,
,429.0,291.0,-124.0,,292.0,155.0,-2498.0,,
,295.0,306.0,3.0,,-89.0,162.0,-1428.0,,
,385.0,271.0,30.0,,206.0,202.0,521.0,,
,409.0,285.0,8.0,,560.0,259.0,2217.0,,
,146.0,268.0,-55.0,,473.0,208.0,2753.0,,
,-128.0,251.0,70.0,,-36.0,133.0,2067.0,,
,-24.0,246.0,155.0,,-352.0,172.0,1690.0,,
,50.0,203.0,2.0,,-91.0,280.0,1221.0,,
,-134.0,235.0,-24.0,,334.0,356.0,1269.0,,
,31.0,199.0,-149.0,,442.0,341.0,1703.0,,
,355.0,204.0,-290.0,,-113.0,251.0,1866.0,,
,500.0,187.0,-276.0,,-518.0,120.0,1903.0,,
,462.0,183.0,-237.0,,-89.0,36.0,1210.0,,
,260.0,178.0,-301.0,,310.0,79.0,450.0,,
,31.0,132.0,-502.0,,269.0,146.0,-770.0,,
,-15.0,135.0,-475.0,,-24.0,225.0,-1781.0,,
,-115.0,103.0,-432.0,,-277.0,309.0,-1895.0,,
,-41.0,104.0,-362.0,,25.0,298.0,-1343.0,,
,308.0,65.0,-72.0,,277.0,313.0,-125.0,,
,406.0,71.0,205.0,,62.0,405.0,157.0,,
,482.0,58.0,507.0,,-106.0,522.0,73.0,,
,457.0,49.0,574.0,,-157.0,558.0,-624.0,,
,240.0,60.0,493.0,,-135.0,414.0,-2019.0,,
,90.0,49.0,365.0,,32.0,254.0,-2518.0,,
,-82.0,100.0,242.0,,205.0,113.0,-2150.0,,
,-401.0,97.0,167.0,,-123.0,-13.0,-886.0,,
,-479.0,143.0,69.0,,-347.0,-20.0,-171.0,,
,-214.0,158.0,141.0,,-207.0,70.0,269.0,,
,-92.0,171.0,265.0,,-184.0,200.0,1058.0,,
,-101.0,210.0,229.0,,-56.0,325.0,1868.0,,
,56.0,225.0,162.0,,60.0,383.0,3246.0,,
,393.0,233.0,207.0,,-18.0,326.0,4271.0,,
,389.0,227.0,152.0,,-164.0,228.0,4744.0,,
,285.0,264.0,121.0,,-21.0,165.0,3588.0,,
,401.0,231.0,150.0,,-35.0,128.0,1006.0,,
,396.0,213.0,131.0,,-23.0,132.0,-1805.0,,
,315.0,221.0,150.0,,244.0,179.0,-4133.0,,
,158.0,175.0,44.0,,281.0,212.0,-4471.0,,
,84.0,149.0,-146.0,,112.0,158.0,-3978.0,,
,1.0,118.0,-373.0,,-141.0,45.0,-2996.0,,
,-179.0,68.0,-435.0,,-273.0,21.0,-2377.0,,
,-405.0,55.0,-222.0,,-313.0,77.0,-2226.0,,
,-616.0,28.0,-310.0,,117.0,88.0,-986.0,,
,-558.0,4.0,-440.0,,411.0,112.0,509.0,,
,-543.0,16.0,-363.0,,253.0,181.0,2466.0,,
,-563.0,11.0,-307.0,,37.0,208.0,3534.0,,
,-451.0,34.0,-90.0,,-218.0,176.0,3008.0,,
,-503.0,58.0,-38.0,,-175.0,101.0,2163.0,,
,-600.0,95.0,117.0,,-6.0,36.0,1431.0,,
,-445.0,128.0,330.0,,166.0,24.0,1369.0,,
,-228.0,170.0,320.0,,19.0,10.0,1382.0,,
,-116.0,206.0,279.0,,-184.0,6.0,1666.0,,
,67.0,236.0,127.0,,-254.0,-6.0,1010.0,,
,360.0,285.0,53.0,,-409.0,-10.0,-698.0,,
,523.0,272.0,103.0,,-245.0,-31.0,-2001.0,,
,475.0,296.0,214.0,,-114.0,-39.0,-3336.0,,
,403.0,300.0,183.0,,-45.0,14.0,-3595.0,,
,308.0,298.0,135.0,,-5.0,0.0,-2825.0,,
,63.0,327.0,62.0,,-369.0,-72.0,-1374.0,,
,-169.0,296.0,-50.0,,-615.0,-119.0,611.0,,
