volcan_id,media_sensor__sum_values,media_sensor__median,media_sensor__mean,media_sensor__length,media_sensor__standard_deviation,media_sensor__variance,media_sensor__root_mean_square,media_sensor__maximum,media_sensor__absolute_maximum,media_sensor__minimum
1257785,180048596.9,2993.4,3000.759935667739,60001.0,1734.2807601244212,3007729.75493774,3465.875062151894,6204.3,6204.3,-207.3
14685760,149999199.9166667,2504.75,2499.944999527786,60001.0,1451.4674161893472,2106757.6602593795,2890.7581463905553,5513.583333333333,5513.583333333333,-441.5833333333333
15525330,150230006.9242424,2498.0833333333335,2503.7917188753922,60001.0,1460.5721664660823,2133271.0534554254,2898.6624544717893,5787.0,5787.0,-705.4166666666666
17116587,200110821.43055558,3321.8888888888887,3335.1247717630636,60001.0,1935.6863544539024,3746881.662819038,3856.1559753265506,6989.666666666667,6989.666666666667,-274.22222222222223
1846591,150377153.72727272,2500.3333333333335,2506.244124719133,60001.0,1453.4787261464091,2112600.407360188,2897.2159084281866,5335.666666666667,5335.666666666667,-323.8333333333333
34931189,150945300.21212125,2479.6666666666665,2515.7130749841044,60001.0,1896.6565433282494,3597306.0433498635,3150.5742839990044,9541.363636363636,9541.363636363636,-3713.4166666666665
513181,150012467.99999997,2468.75,2500.1661305644902,60001.0,1445.7079863015183,2090071.5816559908,2888.0620253169436,5113.666666666667,5113.666666666667,-195.16666666666666
603314,150400468.7045454,2488.1666666666665,2506.6327011974035,60001.0,1463.8305052168844,2142799.7480035187,2902.758558116006,5646.545454545455,5646.545454545455,-488.8333333333333
6070985,163722447.0,2745.3636363636365,2728.6619723004615,60001.0,1581.2882023327593,2500472.3788367696,3153.738818912469,5680.181818181818,5680.181818181818,-313.90909090909093
6825894,150096643.52272725,2503.25,2501.5690325615783,60001.0,1445.4551047344423,2089340.4598028578,2889.1500626436714,5159.083333333333,5159.083333333333,-159.58333333333334
9472096,163781732.72727272,2722.4545454545455,2729.650051287024,60001.0,1596.1350649044507,2547647.145417535,3162.0620721150917,6107.818181818182,6107.818181818182,-774.5454545454545
