time_to_eruption,volcan_id,media_sensor__median,media_sensor__minimum
16258654,1000015382,2496.583333333333,-191.75
6347792,1000554676,2511.6666666666665,-906.5
5120693,1000745424,2510.333333333333,-883.3333333333334
10393161,1001461087,2486.833333333333,-281.4166666666667
20549733,1001732002,2520.75,-323.5833333333333
31353326,1002275321,2992.5,-306.5
9924307,1002575641,2489.083333333333,-617.5
44906449,1002609771,3000.4,-767.9
8004890,1002624617,2699.818181818182,-401.3636363636364
7581131,1002789083,2724.181818181818,-517.8181818181819
36755640,1002825126,2502.4166666666665,-132.08333333333334
1891688,1003154738,3327.0,-308.44444444444446
21994554,1003175827,2702.090909090909,-611.2727272727273
36831703,1003411703,2494.1666666666665,-486.8333333333333
25349493,1003520023,2501.833333333333,-447.0833333333333
21697259,10035828,2501.083333333333,-653.1666666666666
213390,1004346803,2491.5,-328.0
35397029,1004557332,2737.7272727272725,-493.0
21965310,1004561781,2506.75,-590.5833333333334
32264195,1004609129,2507.1666666666665,-324.0833333333333
4357018,100519902,2512.333333333333,-304.5
30290303,1005472094,2503.6666666666665,-157.16666666666666
27292311,100610446,2991.1,-472.1
9680604,1006345280,3053.5,-145.0
13146833,1006842231,2994.4,-554.8
8705748,1007019534,2499.833333333333,-518.3333333333334
45018989,1007996426,2510.5,-403.9166666666667
245735,1009126824,3398.555555555556,-626.2222222222222
33710897,1009442335,2498.1666666666665,-470.1666666666667
4091055,1009749143,2505.083333333333,-1116.0833333333333
34570257,1010002096,2497.833333333333,-140.16666666666666
35512645,1010561361,3003.9,-471.5
34540645,1010680130,2720.181818181818,-377.8181818181818
46629410,1010725931,2495.4166666666665,-291.0833333333333
30695791,1010756593,2503.1666666666665,-340.0833333333333
33693026,1010864137,3002.9,-865.5
15946474,1011078321,2509.583333333333,-305.4166666666667
29267657,1011133267,2497.1666666666665,-141.66666666666666
5182237,1013196130,2499.9166666666665,-1441.0833333333333
15687735,1013226239,2759.5454545454545,-337.3636363636364
37056937,1013789689,2785.454545454545,-1541.3636363636365
41018705,1014562599,2487.083333333333,-329.5833333333333
23961047,1014585637,2504.083333333333,-510.8333333333333
14697508,1015033166,2988.8,-616.6
41052996,1015092282,2482.75,-283.3636363636364
21618954,1016110949,2515.1666666666665,-237.41666666666663
8785675,101616763,2981.6,-397.1
22762641,1016242026,2987.0,-132.0
38082962,1016727429,2750.1666666666665,-356.6666666666667
1428121,1016932159,2716.909090909091,-711.9090909090909
20704604,1016956864,2508.833333333333,-316.1666666666667
4800251,1017830158,2540.25,-2882.083333333333
26111068,1018207090,2740.0,-292.8181818181818
